Week_Start_Date,MMWR_week,Country_Region,Population,Density (P/Km²),Confirmed,Deaths,Recovered,Active
2020-01-20,4,Australia,25499884,3,8.0,0.0,0.0,0.0
2020-01-20,4,Brazil,212559417,25,0.0,0.0,0.0,0.0
2020-01-20,4,Canada,37742154,4,1.0,0.0,0.0,0.0
2020-01-20,4,China,1439323776,153,5563.0,159.0,182.0,2983.0
2020-01-20,4,Colombia,50882891,46,0.0,0.0,0.0,0.0
2020-01-20,4,France,65273511,119,8.0,0.0,0.0,0.0
2020-01-20,4,Hong Kong,7496981,7140,17.0,0.0,0.0,0.0
2020-01-20,4,Japan,126476461,347,11.0,0.0,1.0,0.0
2020-01-20,4,Macau,649335,21645,12.0,0.0,0.0,0.0
2020-01-20,4,Malaysia,32365999,99,7.0,0.0,0.0,0.0
2020-01-20,4,Mexico,128932753,66,0.0,0.0,0.0,0.0
2020-01-20,4,Nepal,29136808,203,2.0,0.0,0.0,0.0
2020-01-20,4,Philippines,109581078,368,0.0,0.0,0.0,0.0
2020-01-20,4,Singapore,5850342,8358,11.0,0.0,0.0,0.0
2020-01-20,4,South Korea,51269185,527,9.0,0.0,0.0,0.0
2020-01-20,4,Taiwan,23816775,673,12.0,0.0,0.0,0.0
2020-01-20,4,Thailand,69799978,137,25.0,0.0,2.0,0.0
2020-01-20,4,US,331002651,36,11.0,0.0,0.0,0.0
2020-01-20,4,Vietnam,97338579,314,8.0,0.0,0.0,0.0
2020-01-27,5,Australia,25499884,3,139.0,0.0,14.0,96.0
2020-01-27,5,Cambodia,16718965,95,16.0,0.0,0.0,11.0
2020-01-27,5,Canada,37742154,4,24.0,0.0,0.0,13.0
2020-01-27,5,China,1439323776,153,60821.0,1350.0,1366.0,47514.0
2020-01-27,5,Finland,5540720,18,14.0,0.0,0.0,11.0
2020-01-27,5,France,65273511,119,64.0,0.0,0.0,42.0
2020-01-27,5,Germany,83783942,240,35.0,0.0,0.0,18.0
2020-01-27,5,Hong Kong,7496981,7140,91.0,0.0,0.0,43.0
2020-01-27,5,India,1380004385,464,5.0,0.0,0.0,3.0
2020-01-27,5,Italy,60461826,206,14.0,0.0,0.0,12.0
2020-01-27,5,Japan,126476461,347,104.0,0.0,8.0,57.0
2020-01-27,5,Macau,649335,21645,57.0,0.0,0.0,23.0
2020-01-27,5,Malaysia,32365999,99,55.0,0.0,0.0,24.0
2020-01-27,5,Nepal,29136808,203,16.0,0.0,0.0,11.0
2020-01-27,5,Philippines,109581078,368,13.0,5.0,0.0,6.0
2020-01-27,5,Russia,145934462,9,24.0,0.0,0.0,22.0
2020-01-27,5,Singapore,5850342,8358,94.0,0.0,0.0,52.0
2020-01-27,5,South Korea,51269185,527,69.0,0.0,0.0,42.0
2020-01-27,5,Spain,46754778,94,8.0,0.0,0.0,8.0
2020-01-27,5,Sri Lanka,21413249,341,12.0,0.0,0.0,7.0
2020-01-27,5,Sweden,10099265,25,26.0,0.0,0.0,25.0
2020-01-27,5,Taiwan,23816775,673,70.0,0.0,0.0,30.0
2020-01-27,5,Thailand,69799978,137,126.0,0.0,37.0,42.0
2020-01-27,5,US,331002651,36,167.0,0.0,0.0,141.0
2020-01-27,5,United Arab Emirates,9890402,118,46.0,0.0,0.0,34.0
2020-01-27,5,United Kingdom,67886011,281,14.0,0.0,0.0,12.0
2020-01-27,5,Vietnam,97338579,314,22.0,0.0,2.0,10.0
2020-02-03,6,Australia,25499884,3,108.0,0.0,14.0,94.0
2020-02-03,6,Belgium,11589623,383,13.0,0.0,0.0,13.0
2020-02-03,6,Canada,37742154,4,86.0,0.0,0.0,86.0
2020-02-03,6,China,1439323776,153,212108.0,4534.0,11887.0,195687.0
2020-02-03,6,France,65273511,119,44.0,0.0,0.0,44.0
2020-02-03,6,Germany,83783942,240,102.0,0.0,0.0,102.0
2020-02-03,6,Hong Kong,7496981,7140,142.0,6.0,0.0,136.0
2020-02-03,6,India,1380004385,464,30.0,0.0,0.0,30.0
2020-02-03,6,Italy,60461826,206,42.0,0.0,0.0,42.0
2020-02-03,6,Japan,126476461,347,165.0,0.0,6.0,159.0
2020-02-03,6,Macau,649335,21645,80.0,0.0,6.0,74.0
2020-02-03,6,Malaysia,32365999,99,78.0,0.0,3.0,75.0
2020-02-03,6,Philippines,109581078,368,15.0,5.0,0.0,10.0
2020-02-03,6,Singapore,5850342,8358,183.0,0.0,4.0,179.0
2020-02-03,6,South Korea,51269185,527,131.0,0.0,5.0,126.0
2020-02-03,6,Spain,46754778,94,12.0,0.0,0.0,12.0
2020-02-03,6,Sri Lanka,21413249,341,31.0,0.0,31.0,0.0
2020-02-03,6,Taiwan,23816775,673,161.0,0.0,8.0,153.0
2020-02-03,6,Thailand,69799978,137,196.0,0.0,50.0,146.0
2020-02-03,6,US,331002651,36,197.0,0.0,62.0,135.0
2020-02-03,6,United Arab Emirates,9890402,118,14.0,0.0,0.0,14.0
2020-02-03,6,United Kingdom,67886011,281,9.0,0.0,0.0,9.0
2020-02-03,6,Vietnam,97338579,314,70.0,0.0,7.0,63.0
2020-02-10,7,Australia,25499884,3,132.0,0.0,132.0,0.0
2020-02-10,7,Cambodia,16718965,95,25.0,0.0,25.0,0.0
2020-02-10,7,Canada,37742154,4,26.0,0.0,26.0,0.0
2020-02-10,7,China,1439323776,153,396151.0,9553.0,47867.0,338731.0
2020-02-10,7,Egypt,102334404,103,7.0,0.0,0.0,7.0
2020-02-10,7,Finland,5540720,18,14.0,0.0,14.0,0.0
2020-02-10,7,France,65273511,119,153.0,10.0,46.0,97.0
2020-02-10,7,Germany,83783942,240,112.0,0.0,5.0,107.0
2020-02-10,7,Hong Kong,7496981,7140,359.0,7.0,6.0,346.0
2020-02-10,7,India,1380004385,464,54.0,0.0,45.0,9.0
2020-02-10,7,Japan,126476461,347,239.0,4.0,64.0,171.0
2020-02-10,7,Macau,649335,21645,80.0,0.0,31.0,49.0
2020-02-10,7,Malaysia,32365999,99,158.0,0.0,34.0,124.0
2020-02-10,7,Nepal,29136808,203,27.0,0.0,27.0,0.0
2020-02-10,7,Philippines,109581078,368,69.0,23.0,23.0,23.0
2020-02-10,7,Russia,145934462,9,38.0,0.0,38.0,0.0
2020-02-10,7,Singapore,5850342,8358,414.0,0.0,94.0,320.0
2020-02-10,7,South Korea,51269185,527,196.0,0.0,45.0,151.0
2020-02-10,7,Spain,46754778,94,20.0,0.0,20.0,0.0
2020-02-10,7,Taiwan,23816775,673,56.0,1.0,6.0,49.0
2020-02-10,7,Thailand,69799978,137,199.0,0.0,70.0,129.0
2020-02-10,7,US,331002651,36,44.0,0.0,0.0,44.0
2020-02-10,7,United Arab Emirates,9890402,118,102.0,0.0,30.0,72.0
2020-02-10,7,United Kingdom,67886011,281,124.0,0.0,68.0,56.0
2020-02-10,7,Vietnam,97338579,314,172.0,0.0,69.0,103.0
2020-02-17,8,Australia,25499884,3,103.0,0.0,32.0,71.0
